"","Group.1","x"
"83","2020-03-23",NA
"84","2020-03-24",NA
"85","2020-03-25",NA
"86","2020-03-26",NA
"87","2020-03-27",NA
"88","2020-03-28",NA
"89","2020-03-29",NA
"90","2020-03-30",NA
"91","2020-03-31",NA
"92","2020-04-01",NA
"93","2020-04-02",NA
"94","2020-04-03",NA
"95","2020-04-04",NA
"96","2020-04-05",NA
"97","2020-04-06",NA
"98","2020-04-07",NA
"99","2020-04-08",NA
"100","2020-04-09",NA
"101","2020-04-10",NA
"102","2020-04-11",NA
"103","2020-04-12",NA
"104","2020-04-13",NA
"105","2020-04-14",NA
"106","2020-04-15",NA
"107","2020-04-16",NA
"108","2020-04-17",NA
"109","2020-04-18",NA
"110","2020-04-19",NA
"111","2020-04-20",NA
"112","2020-04-21",NA
"113","2020-04-22",NA
"114","2020-04-23",NA
"115","2020-04-24",NA
"116","2020-04-25",NA
"117","2020-04-26",NA
"118","2020-04-27",NA
"119","2020-04-28",NA
"120","2020-04-29",NA
"121","2020-04-30",NA
"122","2020-05-01",NA
"123","2020-05-02",NA
"124","2020-05-03",NA
"125","2020-05-04",NA
"126","2020-05-05",NA
"127","2020-05-06",NA
"128","2020-05-07",NA
"129","2020-05-08",NA
"130","2020-05-09",NA
"131","2020-05-10",NA
"132","2020-05-11",NA
"133","2020-05-12",NA
"134","2020-05-13",NA
"135","2020-05-14",NA
"136","2020-05-15",NA
"137","2020-05-16",NA
"138","2020-05-17",NA
"139","2020-05-18",NA
"140","2020-05-19",NA
"141","2020-05-20",NA
"142","2020-05-21",NA
"143","2020-05-22",NA
"144","2020-05-23",NA
"145","2020-05-24",NA
"146","2020-05-25",NA
"147","2020-05-26",NA
"148","2020-05-27",NA
"149","2020-05-28",NA
"150","2020-05-29",NA
"151","2020-05-30",NA
"152","2020-05-31",NA
"153","2020-06-01",NA
"154","2020-06-02",NA
"155","2020-06-03",NA
"156","2020-06-04",NA
"157","2020-06-05",NA
"158","2020-06-06",NA
"159","2020-06-07",NA
"160","2020-06-08",NA
"161","2020-06-09",NA
"162","2020-06-10",NA
"163","2020-06-11",NA
"164","2020-06-12",NA
"165","2020-06-13",NA
"166","2020-06-14",NA
"167","2020-06-15",NA
"168","2020-06-16",NA
"169","2020-06-17",NA
"170","2020-06-18",NA
"171","2020-06-19",NA
"172","2020-06-20",NA
"173","2020-06-21",NA
"174","2020-06-22",NA
"175","2020-06-23",NA
"176","2020-06-24",NA
"177","2020-06-25",NA
"178","2020-06-26",NA
"179","2020-06-27",NA
"180","2020-06-28",NA
"181","2020-06-29",NA
"182","2020-06-30",NA
"183","2020-07-01",NA
"184","2020-07-02",NA
"185","2020-07-03",NA
"186","2020-07-04",NA
"187","2020-07-05",NA
"188","2020-07-06",NA
"189","2020-07-07",NA
"190","2020-07-08",NA
"191","2020-07-09",NA
"192","2020-07-10",NA
"193","2020-07-11",NA
"194","2020-07-12",NA
"195","2020-07-13",NA
"196","2020-07-14",NA
"197","2020-07-15",NA
"198","2020-07-16",NA
"199","2020-07-17",NA
"200","2020-07-18",NA
"201","2020-07-19",NA
"202","2020-07-20",NA
"203","2020-07-21",NA
"204","2020-07-22",NA
"205","2020-07-23",NA
"206","2020-07-24",NA
"207","2020-07-25",NA
"208","2020-07-26",NA
"209","2020-07-27",NA
"210","2020-07-28",NA
"211","2020-07-29",NA
"212","2020-07-30",NA
"213","2020-07-31",NA
"214","2020-08-01",NA
"215","2020-08-02",NA
"216","2020-08-03",NA
"217","2020-08-04",NA
"218","2020-08-05",NA
"219","2020-08-06",NA
"220","2020-08-07",NA
"221","2020-08-08",NA
"222","2020-08-09",NA
"223","2020-08-10",NA
"224","2020-08-11",NA
"225","2020-08-12",NA
"226","2020-08-13",NA
"227","2020-08-14",NA
"228","2020-08-15",NA
"229","2020-08-16",NA
"230","2020-08-17",NA
"231","2020-08-18",NA
"232","2020-08-19",NA
"233","2020-08-20",NA
"234","2020-08-21",NA
"235","2020-08-22",NA
"236","2020-08-23",NA
"237","2020-08-24",NA
"238","2020-08-25",NA
"239","2020-08-26",NA
"240","2020-08-27",NA
"241","2020-08-28",NA
"242","2020-08-29",NA
"243","2020-08-30",NA
"244","2020-08-31",NA
"245","2020-09-01",NA
"246","2020-09-02",NA
"247","2020-09-03",NA
"248","2020-09-04",NA
"249","2020-09-05",NA
"250","2020-09-06",NA
"251","2020-09-07",NA
"252","2020-09-08",NA
"253","2020-09-09",NA
"254","2020-09-10",NA
"255","2020-09-11",NA
"256","2020-09-12",NA
"257","2020-09-13",NA
"258","2020-09-14",NA
"259","2020-09-15",NA
"260","2020-09-16",NA
"261","2020-09-17",NA
"262","2020-09-18",NA
"263","2020-09-19",NA
"264","2020-09-20",NA
"265","2020-09-21",NA
"266","2020-09-22",NA
"267","2020-09-23",NA
"268","2020-09-24",NA
"269","2020-09-25",NA
"270","2020-09-26",NA
"271","2020-09-27",NA
"272","2020-09-28",NA
"273","2020-09-29",NA
"274","2020-09-30",NA
"275","2020-10-01",NA
"276","2020-10-02",NA
"277","2020-10-03",NA
"278","2020-10-04",NA
"279","2020-10-05",NA
"280","2020-10-06",NA
"281","2020-10-07",NA
"282","2020-10-08",NA
"283","2020-10-09",NA
"284","2020-10-10",NA
"285","2020-10-11",NA
"286","2020-10-12",NA
"287","2020-10-13",NA
"288","2020-10-14",NA
"289","2020-10-15",NA
"290","2020-10-16",NA
"291","2020-10-17",NA
"292","2020-10-18",NA
"293","2020-10-19",NA
"294","2020-10-20",NA
"295","2020-10-21",NA
"296","2020-10-22",NA
"297","2020-10-23",NA
"298","2020-10-24",NA
"299","2020-10-25",NA
"300","2020-10-26",NA
"301","2020-10-27",NA
"302","2020-10-28",NA
"303","2020-10-29",NA
"304","2020-10-30",NA
"305","2020-10-31",NA
"306","2020-11-01",NA
"307","2020-11-02",NA
"308","2020-11-03",NA
"309","2020-11-04",NA
"310","2020-11-05",NA
"311","2020-11-06",NA
"312","2020-11-07",NA
"313","2020-11-08",NA
"314","2020-11-09",NA
"315","2020-11-10",NA
"316","2020-11-11",NA
"317","2020-11-12",NA
"318","2020-11-13",NA
"319","2020-11-14",NA
"320","2020-11-15",NA
"321","2020-11-16",NA
"322","2020-11-17",NA
"323","2020-11-18",NA
"324","2020-11-19",NA
"325","2020-11-20",NA
"326","2020-11-21",NA
"327","2020-11-22",NA
"328","2020-11-23",NA
"329","2020-11-24",NA
"330","2020-11-25",NA
"331","2020-11-26",NA
"332","2020-11-27",NA
"333","2020-11-28",NA
"334","2020-11-29",NA
"335","2020-11-30",NA
"336","2020-12-01",NA
"337","2020-12-02",NA
"338","2020-12-03",NA
"339","2020-12-04",0
"340","2020-12-05",NA
"341","2020-12-06",NA
"342","2020-12-07",NA
"343","2020-12-08",NA
"344","2020-12-09",NA
"345","2020-12-10",NA
"346","2020-12-11",NA
"347","2020-12-12",NA
"348","2020-12-13",NA
"349","2020-12-14",NA
"350","2020-12-15",0.01
"351","2020-12-16",0
"352","2020-12-17",NA
"353","2020-12-18",0
"354","2020-12-19",NA
"355","2020-12-20",0.085
"356","2020-12-21",0.09
"357","2020-12-22",0.0133333333333333
"358","2020-12-23",0.1
"359","2020-12-24",0.0025
"360","2020-12-25",0.01
"361","2020-12-26",0.196666666666667
"362","2020-12-27",0.0454545454545455
"363","2020-12-28",0.09
"364","2020-12-29",0.086
"365","2020-12-30",0.17875
"366","2020-12-31",0.152142857142857
"367","2021-01-01",0.173636363636364
"368","2021-01-02",0.286428571428571
"369","2021-01-03",0.187333333333333
"370","2021-01-04",0.258235294117647
"371","2021-01-05",0.317777777777778
"372","2021-01-06",0.405882352941176
"373","2021-01-07",0.477222222222222
"374","2021-01-08",0.516666666666667
"375","2021-01-09",0.537647058823529
"376","2021-01-10",0.508235294117647
"377","2021-01-11",0.711764705882353
"378","2021-01-12",0.6835
"379","2021-01-13",0.808181818181818
"380","2021-01-14",0.938571428571429
"381","2021-01-15",1.02954545454545
"382","2021-01-16",0.922857142857143
"383","2021-01-17",0.914
"384","2021-01-18",1.00636363636364
"385","2021-01-19",1.28826086956522
"386","2021-01-20",1.23346153846154
"387","2021-01-21",1.3972
"388","2021-01-22",1.52269230769231
"389","2021-01-23",1.6112
"390","2021-01-24",1.6584
"391","2021-01-25",1.70107142857143
"392","2021-01-26",1.70586206896552
"393","2021-01-27",1.87678571428571
"394","2021-01-28",2.00321428571429
"395","2021-01-29",2.22321428571429
"396","2021-01-30",2.2
"397","2021-01-31",2.1896
"398","2021-02-01",2.128
"399","2021-02-02",2.48892857142857
"400","2021-02-03",2.73678571428571
"401","2021-02-04",2.83172413793103
"402","2021-02-05",3.18576923076923
"403","2021-02-06",3.1112
"404","2021-02-07",3.4244
"405","2021-02-08",2.90666666666667
"406","2021-02-09",2.80451612903226
"407","2021-02-10",3.14966666666667
"408","2021-02-11",3.213
"409","2021-02-12",4.10925925925926
"410","2021-02-13",3.59827586206897
"411","2021-02-14",4.41307692307692
"412","2021-02-15",2.85194444444444
"413","2021-02-16",3.42090909090909
"414","2021-02-17",2.93439024390244
"415","2021-02-18",3.32794871794872
"416","2021-02-19",3.64666666666667
"417","2021-02-20",3.94
"418","2021-02-21",3.85088235294118
"419","2021-02-22",3.21333333333333
"420","2021-02-23",4.13432432432432
"421","2021-02-24",3.91326086956522
"422","2021-02-25",4.04318181818182
"423","2021-02-26",4.57682926829268
"424","2021-02-27",4.49166666666667
"425","2021-02-28",4.59585365853659
"426","2021-03-01",3.928
"427","2021-03-02",4.47777777777778
"428","2021-03-03",4.93739130434783
"429","2021-03-04",4.8952
"430","2021-03-05",5.07125
"431","2021-03-06",5.84380952380952
"432","2021-03-07",5.30761904761905
"433","2021-03-08",5.43115384615385
"434","2021-03-09",5.09345454545455
"435","2021-03-10",5.194
"436","2021-03-11",6.03686274509804
"437","2021-03-12",5.9477358490566
"438","2021-03-13",6.2186
"439","2021-03-14",5.81980769230769
"440","2021-03-15",5.99571428571429
"441","2021-03-16",6.27307692307692
"442","2021-03-17",6.14035087719298
"443","2021-03-18",6.5011320754717
"444","2021-03-19",6.89036363636364
"445","2021-03-20",7.86145833333333
"446","2021-03-21",6.82905660377358
"447","2021-03-22",7.34375
"448","2021-03-23",7.29111111111111
"449","2021-03-24",7.02683333333333
"450","2021-03-25",6.91407407407407
"451","2021-03-26",7.80508771929825
"452","2021-03-27",7.68313725490196
"453","2021-03-28",8.16551020408163
"454","2021-03-29",7.36672727272727
"455","2021-03-30",8.33280701754386
"456","2021-03-31",7.52880597014925
"457","2021-04-01",8.51918032786885
"458","2021-04-02",9.29421052631579
"459","2021-04-03",9.2862
"460","2021-04-04",9.29912280701754
"461","2021-04-05",9.1283606557377
"462","2021-04-06",8.77246153846154
"463","2021-04-07",9.398
"464","2021-04-08",8.78074626865672
"465","2021-04-09",9.78
"466","2021-04-10",10.7631147540984
"467","2021-04-11",10.440701754386
"468","2021-04-12",9.27602941176471
"469","2021-04-13",10.4555555555556
"470","2021-04-14",9.751
"471","2021-04-15",10.3876923076923
"472","2021-04-16",10.4384375
"473","2021-04-17",11.4588524590164
"474","2021-04-18",11.7734920634921
"475","2021-04-19",11.1586956521739
"476","2021-04-20",11.4169696969697
"477","2021-04-21",12.3340909090909
"478","2021-04-22",11.9705797101449
"479","2021-04-23",12.9516666666667
"480","2021-04-24",12.5617543859649
"481","2021-04-25",13.1925396825397
"482","2021-04-26",13.3747692307692
"483","2021-04-27",13.3134848484848
"484","2021-04-28",13.1615068493151
"485","2021-04-29",13.7730158730159
"486","2021-04-30",14.5640909090909
"487","2021-05-01",16.4203389830508
"488","2021-05-02",16.7016363636364
"489","2021-05-03",16.2258620689655
"490","2021-05-04",14.9482352941176
"491","2021-05-05",15.7430434782609
"492","2021-05-06",16.6890625
"493","2021-05-07",16.6936231884058
"494","2021-05-08",18.0076666666667
"495","2021-05-09",17.6108620689655
"496","2021-05-10",18.06328125
"497","2021-05-11",15.9817647058824
"498","2021-05-12",14.9606666666667
"499","2021-05-13",18.5204838709677
"500","2021-05-14",18.6189230769231
"501","2021-05-15",20.6547540983607
"502","2021-05-16",19.7852380952381
"503","2021-05-17",18.7345833333333
"504","2021-05-18",17.167125
"505","2021-05-19",19.7842028985507
"506","2021-05-20",20.3340909090909
"507","2021-05-21",17.7767901234568
"508","2021-05-22",21.3838461538462
"509","2021-05-23",20.2891549295775
"510","2021-05-24",19.3892105263158
"511","2021-05-25",20.9
"512","2021-05-26",19.6356578947368
"513","2021-05-27",22.4760606060606
"514","2021-05-28",23.4985483870968
"515","2021-05-29",22.5479104477612
"516","2021-05-30",24.5022580645161
"517","2021-05-31",18.8370114942529
"518","2021-06-01",23.3149333333333
"519","2021-06-02",23.6281333333333
"520","2021-06-03",25.8798571428571
"521","2021-06-04",26.2135
"522","2021-06-05",26.4942424242424
"523","2021-06-06",25.7256944444444
"524","2021-06-07",26.6202898550725
"525","2021-06-08",21.3447727272727
"526","2021-06-09",27.2715492957746
"527","2021-06-10",23.3907228915663
"528","2021-06-11",27.6917647058824
"529","2021-06-12",27.7573134328358
"530","2021-06-13",30.0308823529412
"531","2021-06-14",24.0696551724138
"532","2021-06-15",25.51
"533","2021-06-16",29.5175
"534","2021-06-17",30.6981690140845
"535","2021-06-18",31.2633846153846
"536","2021-06-19",31.7888524590164
"537","2021-06-20",29.3529487179487
"538","2021-06-21",32.5961428571429
"539","2021-06-22",32.3417647058824
"540","2021-06-23",29.5587341772152
"541","2021-06-24",29.4282051282051
"542","2021-06-25",32.494696969697
"543","2021-06-26",34.294262295082
"544","2021-06-27",34.4616923076923
"545","2021-06-28",29.5564705882353
"546","2021-06-29",32.8647887323944
"547","2021-06-30",32.7808450704225
"548","2021-07-01",35.2712903225806
"549","2021-07-02",37.9811111111111
"550","2021-07-03",36.95296875
"551","2021-07-04",38.2269014084507
"552","2021-07-05",31.0732954545455
"553","2021-07-06",37.8210294117647
"554","2021-07-07",36.9158666666667
"555","2021-07-08",38.6881538461538
"556","2021-07-09",38.8208695652174
"557","2021-07-10",41.6837931034483
"558","2021-07-11",41.2877142857143
"559","2021-07-12",35.1994186046512
"560","2021-07-13",39.1325
"561","2021-07-14",43.6685074626866
"562","2021-07-15",43.0090909090909
"563","2021-07-16",42.1920967741936
"564","2021-07-17",45.841
"565","2021-07-18",44.0163076923077
"566","2021-07-19",42.1953846153846
"567","2021-07-20",49.3759322033898
"568","2021-07-21",44.4854545454545
"569","2021-07-22",47.9156923076923
"570","2021-07-23",49.9933333333333
"571","2021-07-24",43.9503125
"572","2021-07-25",46.2423943661972
"573","2021-07-26",45.2838461538462
"574","2021-07-27",46.3704285714286
"575","2021-07-28",47.9988732394366
"576","2021-07-29",47.2538356164384
"577","2021-07-30",48.8842857142857
"578","2021-07-31",51.1081538461538
"579","2021-08-01",49.3123943661972
"580","2021-08-02",48.5801369863014
"581","2021-08-03",44.7796551724138
"582","2021-08-04",50.5035211267606
"583","2021-08-05",48.1458974358974
"584","2021-08-06",51.16734375
"585","2021-08-07",54.6093650793651
"586","2021-08-08",54.2922058823529
"587","2021-08-09",46.0827058823529
"588","2021-08-10",50.966835443038
"589","2021-08-11",54.7967605633803
"590","2021-08-12",52.0849315068493
"591","2021-08-13",56.0401538461538
"592","2021-08-14",59.7814035087719
"593","2021-08-15",59.2508695652174
"594","2021-08-16",49.3401162790698
"595","2021-08-17",58.5710666666667
"596","2021-08-18",58.5977333333333
"597","2021-08-19",57.0617105263158
"598","2021-08-20",52.8122077922078
"599","2021-08-21",59.349375
"600","2021-08-22",61.7798611111111
"601","2021-08-23",55.1875308641975
"602","2021-08-24",62.5978378378378
"603","2021-08-25",52.1668181818182
"604","2021-08-26",63.5335714285714
"605","2021-08-27",59.6706756756757
"606","2021-08-28",60.9657575757576
"607","2021-08-29",64.7001369863014
"608","2021-08-30",61.3035616438356
"609","2021-08-31",62.3202631578947
